State,Action,Q_Value
"(1.6, 0, 0)",1.0,17191908.940836836
"(1.6, 0, 0)",2.5,19088103.716044392
"(1.6, 0, 2)",1.0,27117893.45929878
"(1.6, 0, 1)",1.0,27528687.423768252
"(1.6, 1, 1)",1.0,23929760.596401833
"(1.6, 1, 1)",1.2,21743237.40726994
"(1.6, 2, 2)",1.0,12860618.240863597
"(1.6, 2, 0)",1.0,1701710.4986766565
"(1.6, 0, 0)",2.0,21676139.619369783
"(1.6, 1, 1)",1.5,22912803.47093014
"(1.6, 2, 2)",2.5,15130676.459045261
"(1.6, 0, 0)",1.5,17639513.599950276
"(1.6, 0, 2)",2.5,19319298.749418594
"(1.6, 2, 2)",2.0,14081545.878482789
"(1.6, 2, 2)",1.2,13747526.443965022
"(1.6, 0, 2)",1.5,21539442.857190784
"(1.6, 2, 0)",1.5,2553919.364557123
"(1.6, 1, 1)",2.0,26961298.729661208
"(1.6, 0, 0)",1.2,19239708.24091041
"(1.6, 1, 1)",2.5,20361151.507935796
"(1.6, 0, 2)",1.2,22018021.52053612
"(1.6, 2, 2)",1.5,14651365.934922377
"(1.6, 0, 2)",2.0,20135501.29721785
"(1.6, 2, 0)",1.2,836522.3115019074
"(1.6, 0, 1)",2.5,6735966.200674545
"(1.6, 2, 0)",2.5,951793.2205133331
"(1.6, 0, 1)",1.5,16204179.14666678
"(1.6, 0, 1)",2.0,7858732.87911992
"(1.6, 0, 1)",1.2,8679323.878743656
"(1.6, 2, 0)",2.0,860788.0818279642
